aisle_id,avg_pickers
A01,12
A02,12
A03,12
A04,12
A05,12
A06,12
A07,12
A08,12
A09,12
A10,12
A11,12
A12,12
A13,12
A14,12
A15,12
A16,12
A17,12
A18,12
A19,12
A20,12
A21,12
A22,12
A23,12
A24,12
A25,12
B01,12
B02,12
B03,12
B04,12
B05,12
B06,12
B07,12
B08,12
B09,12
B10,12
B11,12
B12,12
B13,12
B14,12
B15,12
B16,12
B17,12
B18,12
B19,12
B20,12
B21,12
B22,12
B23,12
B24,12
B25,12
C01,12
C02,12
C03,12
C04,12
C05,12
C06,12
C07,12
C08,12
C09,12
C10,12
C11,12
C12,12
C13,12
C14,12
C15,12
C16,12
C17,12
C18,12
C19,12
C20,12
C21,12
C22,12
C23,12
C24,12
C25,12
D01,12
D02,12
D03,12
D04,12
D05,12
D06,12
D07,12
D08,12
D09,12
D10,12
D11,12
D12,12
D13,12
D14,12
D15,12
D16,12
D17,12
D18,12
D19,12
D20,12
D21,12
D22,12
D23,12
D24,12
D25,12
E01,12
E02,12
E03,12
E04,12
E05,12
E06,12
E07,12
E08,12
E09,12
E10,12
E11,12
E12,12
E13,12
E14,12
E15,12
E16,12
E17,12
E18,12
E19,12
E20,12
E21,12
E22,12
E23,12
E24,12
E25,12
F01,12
F02,12
F03,12
F04,12
F05,12
F06,12
F07,12
F08,12
F09,12
F10,12
F11,12
F12,12
F13,12
F14,12
F15,12
F16,12
F17,12
F18,12
F19,12
F20,12
F21,12
F22,12
F23,12
F24,12
F25,12
