sku_id,temp_req,temp_zone,current_slot
SKU-10000,Frozen,Ambient,F05-B-01
SKU-10001,Refrigerated,Ambient,A19-F-19
SKU-10002,Ambient,Frozen,D02-B-12
SKU-10004,Frozen,Ambient,B24-B-05
SKU-10005,Frozen,Ambient,F19-E-14
SKU-10009,Frozen,Ambient,F22-B-09
SKU-10010,Frozen,Ambient,B03-C-14
SKU-10011,Frozen,Ambient,A04-D-17
SKU-10012,Frozen,Ambient,A01-E-17
SKU-10013,Refrigerated,Ambient,A01-F-01
SKU-10014,Ambient,Frozen,D15-B-03
SKU-10015,Frozen,Ambient,A22-B-07
SKU-10016,Frozen,Ambient,A01-F-01
SKU-10019,Frozen,Ambient,F09-E-13
SKU-10020,Refrigerated,Ambient,B04-B-01
SKU-10021,Ambient,Refrigerated,C17-A-19
SKU-10022,Ambient,Refrigerated,C24-A-10
SKU-10023,Frozen,Ambient,B21-B-10
SKU-10025,Ambient,Frozen,D12-C-17
SKU-10027,Refrigerated,Ambient,A01-F-01
SKU-10028,Frozen,Ambient,B21-B-15
SKU-10029,Frozen,Ambient,A01-F-01
SKU-10030,Frozen,Ambient,A19-F-15
SKU-10031,Frozen,Ambient,B09-B-03
SKU-10032,Frozen,Ambient,A01-F-01
SKU-10033,Ambient,Frozen,D19-D-15
SKU-10034,Refrigerated,Frozen,D06-B-16
SKU-10035,Frozen,Ambient,A01-F-01
SKU-10036,Frozen,Ambient,A17-D-01
SKU-10037,Frozen,Ambient,A16-E-07
SKU-10038,Frozen,Ambient,A01-F-01
SKU-10041,Ambient,Refrigerated,C20-D-13
SKU-10042,Ambient,Frozen,D08-D-12
SKU-10043,Frozen,Ambient,A06-F-06
SKU-10044,Frozen,Ambient,B01-E-02
SKU-10045,Ambient,Frozen,D07-A-03
SKU-10046,Ambient,Refrigerated,C18-F-13
SKU-10047,Ambient,Frozen,D22-C-09
SKU-10048,Refrigerated,Frozen,D13-C-11
SKU-10049,Frozen,Ambient,F25-B-11
SKU-10050,Frozen,Ambient,A02-C-13
SKU-10051,Frozen,Ambient,A11-A-07
SKU-10053,Ambient,Refrigerated,C24-D-19
SKU-10054,Refrigerated,Ambient,E13-C-06
SKU-10056,Frozen,Ambient,A01-F-01
SKU-10057,Frozen,Ambient,E08-C-11
SKU-10058,Frozen,Ambient,E05-D-09
SKU-10060,Frozen,Ambient,E01-D-16
SKU-10062,Frozen,Ambient,A01-F-01
SKU-10064,Frozen,Ambient,B19-E-19
SKU-10065,Refrigerated,Ambient,A01-F-01
SKU-10066,Refrigerated,Ambient,A01-F-01
SKU-10067,Refrigerated,Frozen,D17-C-14
SKU-10068,Frozen,Ambient,E07-A-19
SKU-10069,Frozen,Ambient,E12-E-06
SKU-10070,Refrigerated,Ambient,A01-F-01
SKU-10071,Frozen,Ambient,A15-B-06
SKU-10072,Frozen,Ambient,E08-F-02
SKU-10073,Ambient,Frozen,D22-B-17
SKU-10074,Frozen,Ambient,A01-F-01
SKU-10075,Frozen,Ambient,A20-E-02
SKU-10076,Refrigerated,Ambient,A01-F-01
SKU-10077,Ambient,Refrigerated,C09-A-08
SKU-10079,Frozen,Ambient,A01-F-01
SKU-10082,Refrigerated,Ambient,A01-F-01
SKU-10083,Frozen,Ambient,A01-F-01
SKU-10084,Frozen,Ambient,E01-E-02
SKU-10085,Ambient,Frozen,D02-E-06
SKU-10087,Frozen,Ambient,F09-A-16
SKU-10088,Refrigerated,Ambient,A19-D-15
SKU-10090,Frozen,Ambient,B06-A-16
SKU-10091,Frozen,Ambient,A09-B-15
SKU-10092,Frozen,Ambient,A01-F-01
SKU-10094,Frozen,Ambient,A01-F-01
SKU-10095,Ambient,Refrigerated,C22-B-05
SKU-10096,Ambient,Refrigerated,C13-F-01
SKU-10097,Frozen,Ambient,A21-C-04
SKU-10098,Frozen,Ambient,A01-F-01
SKU-10099,Frozen,Ambient,B11-B-12
SKU-10100,Ambient,Refrigerated,C20-D-02
SKU-10101,Ambient,Frozen,D21-C-19
SKU-10104,Frozen,Ambient,E22-E-17
SKU-10105,Frozen,Ambient,F19-F-19
SKU-10106,Refrigerated,Ambient,A01-F-01
SKU-10108,Frozen,Ambient,A01-F-01
SKU-10109,Frozen,Ambient,F22-D-01
SKU-10112,Frozen,Ambient,A04-C-11
SKU-10114,Frozen,Ambient,E09-E-12
SKU-10116,Frozen,Ambient,B06-E-16
SKU-10118,Frozen,Ambient,F02-F-16
SKU-10120,Frozen,Ambient,F13-C-03
SKU-10121,Frozen,Ambient,A18-B-04
SKU-10123,Frozen,Ambient,A01-F-01
SKU-10124,Refrigerated,Ambient,A01-F-01
SKU-10127,Ambient,Refrigerated,C19-F-09
SKU-10128,Frozen,Ambient,B08-C-05
SKU-10129,Ambient,Refrigerated,C07-B-14
SKU-10131,Ambient,Frozen,D23-A-02
SKU-10133,Ambient,Frozen,D25-F-19
SKU-10136,Refrigerated,Ambient,A01-F-01
SKU-10137,Frozen,Ambient,E08-D-04
SKU-10138,Refrigerated,Ambient,A01-F-01
SKU-10139,Frozen,Ambient,A24-F-16
SKU-10146,Frozen,Ambient,B16-E-09
SKU-10147,Ambient,Refrigerated,C09-B-08
SKU-10148,Refrigerated,Ambient,A19-D-14
SKU-10150,Frozen,Ambient,A09-A-14
SKU-10151,Refrigerated,Ambient,B21-C-11
SKU-10152,Frozen,Ambient,F01-E-02
SKU-10155,Refrigerated,Frozen,D22-D-09
SKU-10158,Ambient,Refrigerated,C04-B-11
SKU-10159,Ambient,Refrigerated,C20-E-08
SKU-10162,Refrigerated,Ambient,B18-A-10
SKU-10163,Refrigerated,Ambient,E17-F-01
SKU-10164,Frozen,Refrigerated,C21-B-14
SKU-10165,Frozen,Refrigerated,C09-A-15
SKU-10167,Frozen,Refrigerated,C21-F-20
SKU-10168,Refrigerated,Ambient,E22-C-13
SKU-10170,Ambient,Frozen,D07-D-10
SKU-10171,Ambient,Frozen,D14-B-19
SKU-10172,Frozen,Ambient,F23-A-20
SKU-10174,Ambient,Refrigerated,C18-C-14
