slot_id,zone,aisle_id,shelf_level,temp_zone,max_weight_kg,aisle_width_m
A01-A-01,A,A01,A,Ambient,150,2.0
A01-A-02,A,A01,A,Ambient,150,2.0
A01-A-03,A,A01,A,Ambient,150,2.0
A01-A-04,A,A01,A,Ambient,150,2.0
A01-A-05,A,A01,A,Ambient,150,2.0
A01-A-06,A,A01,A,Ambient,150,2.0
A01-A-07,A,A01,A,Ambient,150,2.0
A01-A-08,A,A01,A,Ambient,150,2.0
A01-A-09,A,A01,A,Ambient,150,2.0
A01-A-10,A,A01,A,Ambient,150,2.0
A01-A-11,A,A01,A,Ambient,150,2.0
A01-A-12,A,A01,A,Ambient,150,2.0
A01-A-13,A,A01,A,Ambient,150,2.0
A01-A-14,A,A01,A,Ambient,150,2.0
A01-A-15,A,A01,A,Ambient,150,2.0
A01-A-16,A,A01,A,Ambient,150,2.0
A01-A-17,A,A01,A,Ambient,150,2.0
A01-A-18,A,A01,A,Ambient,150,2.0
A01-A-19,A,A01,A,Ambient,150,2.0
A01-A-20,A,A01,A,Ambient,150,2.0
A01-B-01,A,A01,B,Ambient,150,2.0
A01-B-02,A,A01,B,Ambient,150,2.0
A01-B-03,A,A01,B,Ambient,150,2.0
A01-B-04,A,A01,B,Ambient,150,2.0
A01-B-05,A,A01,B,Ambient,150,2.0
A01-B-06,A,A01,B,Ambient,150,2.0
A01-B-07,A,A01,B,Ambient,150,2.0
A01-B-08,A,A01,B,Ambient,150,2.0
A01-B-09,A,A01,B,Ambient,150,2.0
A01-B-10,A,A01,B,Ambient,150,2.0
A01-B-11,A,A01,B,Ambient,150,2.0
A01-B-12,A,A01,B,Ambient,150,2.0
A01-B-13,A,A01,B,Ambient,150,2.0
A01-B-14,A,A01,B,Ambient,150,2.0
A01-B-15,A,A01,B,Ambient,150,2.0
A01-B-16,A,A01,B,Ambient,150,2.0
A01-B-17,A,A01,B,Ambient,150,2.0
A01-B-18,A,A01,B,Ambient,150,2.0
A01-B-19,A,A01,B,Ambient,150,2.0
A01-B-20,A,A01,B,Ambient,150,2.0
A01-C-01,A,A01,C,Ambient,150,2.0
A01-C-02,A,A01,C,Ambient,150,2.0
A01-C-03,A,A01,C,Ambient,150,2.0
A01-C-04,A,A01,C,Ambient,150,2.0
A01-C-05,A,A01,C,Ambient,150,2.0
A01-C-06,A,A01,C,Ambient,150,2.0
A01-C-07,A,A01,C,Ambient,150,2.0
A01-C-08,A,A01,C,Ambient,150,2.0
A01-C-09,A,A01,C,Ambient,150,2.0
A01-C-10,A,A01,C,Ambient,150,2.0
A01-C-11,A,A01,C,Ambient,150,2.0
A01-C-12,A,A01,C,Ambient,150,2.0
A01-C-13,A,A01,C,Ambient,150,2.0
A01-C-14,A,A01,C,Ambient,150,2.0
A01-C-15,A,A01,C,Ambient,150,2.0
A01-C-16,A,A01,C,Ambient,150,2.0
A01-C-17,A,A01,C,Ambient,150,2.0
